Env,Layer,System,Host_or_Endpoint,Host_Type,Host_Seq,Zone,Component,Direction,Protocol_Port,Hosting,Sizing_RAM,Sizing_CPU,Sizing_Storage_or_Capacity,Growth,Project,Status_or_Notes,Endpoint_Group
PROD,Consumer,Pivotal,NJWPIVCRMDB2.bbh.com,Hostname,6 of 6,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16GB,4,100GB,TBD,SEI,Production sizing TBD,NJWPIVCRMINT.bbh.com; NJWPIVCRMMKT.bbh.com; NJWPIVCRM1.bbh.com; NJWPIVCRM2.bbh.com; NJWPIVCRMUX1.bbh.com; NJWPIVCRMDB2.bbh.com
PROD,Consumer,CRD,CRD production vendor environment,Descriptive,1 of 1,APPLICATION,CONSUMERS,Outbound,TBD,Vendor Azure,Vendor Managed,Vendor Managed,Vendor Managed,TBD,SEI,Production CRD sizing TBD,CRD production vendor environment
PROD,Consumer,Client Portal,njtasap12.bbh.com,Hostname,1 of 4,APPLICATION,CONSUMERS,Outbound,TBD,BBH RHEL,12GB,2,350GB,TBD,SEI,Production sizing TBD,njtasap12.bbh.com; njtas2ap12.bbh.com; njtas3ap12.bbh.com; njtas4ap12.bbh.com
PROD,Consumer,Client Portal,njtas2ap12.bbh.com,Hostname,2 of 4,APPLICATION,CONSUMERS,Outbound,TBD,BBH RHEL,12GB,2,350GB,TBD,SEI,Production sizing TBD,njtasap12.bbh.com; njtas2ap12.bbh.com; njtas3ap12.bbh.com; njtas4ap12.bbh.com
PROD,Consumer,Client Portal,njtas3ap12.bbh.com,Hostname,3 of 4,APPLICATION,CONSUMERS,Outbound,TBD,BBH RHEL,12GB,2,350GB,TBD,SEI,Production sizing TBD,njtasap12.bbh.com; njtas2ap12.bbh.com; njtas3ap12.bbh.com; njtas4ap12.bbh.com
PROD,Consumer,Client Portal,njtas4ap12.bbh.com,Hostname,4 of 4,APPLICATION,CONSUMERS,Outbound,TBD,BBH RHEL,12GB,2,350GB,TBD,SEI,Production sizing TBD,njtasap12.bbh.com; njtas2ap12.bbh.com; njtas3ap12.bbh.com; njtas4ap12.bbh.com
PROD,Consumer,PORT,Bloomberg PORT production,Descriptive,1 of 1,APPLICATION,CONSUMERS,Outbound,TBD,Bloomberg vendor,Vendor Managed,Vendor Managed,25 accounts; 3000 securities,TBD,SEI,Production PORT capacity TBD,Bloomberg PORT production
PROD,Platform,Momentum MFT,Momentum MFT engine,Descriptive,1 of 1,DMZ,DATA_MOVEMENT,Internal,TBD,BBH MFT,Not Applicable,Not Applicable,Not Applicable,TBD,SHARED,Moves drop zone to landing - rename-atomic,Momentum MFT engine
PROD,Platform,PingFederate,ping-idp-01.bbh.com,Hostname,1 of 2,CORP,IDENTITY,Bidirectional,HTTPS 443,BBH,TBD,TBD,TBD,TBD,SHARED,User SSO to SWP desktop; SAML/OIDC federation to SEI,ping-idp-01.bbh.com; ping-idp-02.bbh.com
PROD,Platform,PingFederate,ping-idp-02.bbh.com,Hostname,2 of 2,CORP,IDENTITY,Bidirectional,HTTPS 443,BBH,TBD,TBD,TBD,TBD,SHARED,User SSO to SWP desktop; SAML/OIDC federation to SEI,ping-idp-01.bbh.com; ping-idp-02.bbh.com
PROD,Platform,OCP Ingress,prod OCP router - ops/admin route only,Descriptive,1 of 1,APPLICATION,INTEGRATION_HUB,Inbound,HTTPS 443,BBH OpenShift,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Operations access only - users never traverse hub,prod OCP router - ops/admin route only
PROD,Platform,Observability Stack,Splunk HEC,Service,1 of 3,CORP,IDENTITY,Internal,8088,BBH,TBD,TBD,TBD,TBD,SHARED,Hub telemetry and secrets,Splunk HEC; Vault; OIDC
PROD,Platform,Observability Stack,Vault,Service,2 of 3,CORP,IDENTITY,Internal,8088,BBH,TBD,TBD,TBD,TBD,SHARED,Hub telemetry and secrets,Splunk HEC; Vault; OIDC
PROD,Platform,Observability Stack,OIDC,Service,3 of 3,CORP,IDENTITY,Internal,8088,BBH,TBD,TBD,TBD,TBD,SHARED,Hub telemetry and secrets,Splunk HEC; Vault; OIDC
PROD,External API,SEI API Proxy Egress,192.200.8.0/24,IP/CIDR,1 of 3,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,BBH to SEI,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,IP ranges to be whitelisted by SEI,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24
PROD,External API,SEI API Proxy Egress,192.200.5.0/24,IP/CIDR,2 of 3,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,BBH to SEI,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,IP ranges to be whitelisted by SEI,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24
PROD,External API,SEI API Proxy Egress,204.136.26.0/24,IP/CIDR,3 of 3,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,BBH to SEI,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,IP ranges to be whitelisted by SEI,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24
PROD,External SFTP,SEI to BBH SFTP,secureftp.bbh.com,Hostname,1 of 1,DMZ,DATA_MOVEMENT,Inbound,SFTP 22,BBH MFT,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Production SFTP account seiswp_sftp,secureftp.bbh.com
PROD,External API,SEI SWP Platform,SEI batch + api endpoints (vendor side),Descriptive,1 of 1,UNTRUSTED,EXTERNAL,Inbound,HTTPS 443,Vendor SaaS,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Vendor platform - no BBH control,SEI batch + api endpoints (vendor side)
PROD,External API,SEI SaaS SWP Desktop,SWP desktop UI - user SSO via PingFederate,Descriptive,1 of 1,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,Vendor SaaS,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Users connect direct - SSO BBH to SEI,SWP desktop UI - user SSO via PingFederate
